Ticker symbol,Security,GICS Sector,GICS Sub Industry,Location,Date first added[3][4],Founded
SCG,SCANA Corp,Utilities,Multi-Utilities,"Cayce, South Carolina",1/2/2009,
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"San Francisco, California",6/2/1997,
SEE,Sealed Air,Materials,Paper Packaging,"Elmwood Park, New Jersey",,
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",6/30/1964,1866
SIVB,SVB Financial,Financials,Regional Banks,"Santa Clara, California",3/19/2018,
SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",11/6/2008,
SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",3/31/1965,1926
SLG,SL Green Realty,Real Estate,Office REITs,"New York, New York",3/20/2015,
SNA,Snap-on,Industrials,Industrial Machinery,"Kenosha, Wisconsin",9/30/1982,
SNPS,Synopsys Inc.,Information Technology,Application Software,"Mountain View, California",3/16/2017,
SO,Southern Co.,Utilities,Electric Utilities,"Atlanta, Georgia",,
SPG,Simon Property Group Inc,Real Estate,Retail REITs,"Indianapolis, Indiana",6/26/2002,
SPGI,"S&P Global, Inc.",Financials,Financial Exchanges & Data,"New York, New York",,
SRCL,Stericycle Inc,Industrials,Environmental & Facilities Services,"Lake Forest, Illinois",11/19/2008,
SRE,Sempra Energy,Utilities,Multi-Utilities,"San Diego, California",,
STI,SunTrust Banks,Financials,Regional Banks,"Atlanta, Georgia",5/31/1988,
STT,State Street Corp.,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",7/2/2012,
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",7/5/2005,
SWK,Stanley Black & Decker,Industrials,Industrial Machinery,"New Britain, Connecticut",9/30/1982,
SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Woburn, Massachusetts",3/12/2015,
SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",11/18/2015,
SYK,Stryker Corp.,Health Care,Health Care Equipment,"Kalamazoo, Michigan",12/12/2000,
SYMC,Symantec Corp.,Information Technology,Application Software,"Mountain View, California",3/25/2003,
SYY,Sysco Corp.,Consumer Staples,Food Distributors,"Houston, Texas",12/31/1986,
T,AT&T Inc.,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",11/30/1983,1983
TAP,Molson Coors Brewing Company,Consumer Staples,Brewers,"Denver, Colorado",6/30/1976,
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",6/3/2016,
TEL,TE Connectivity Ltd.,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",10/17/2011,
TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",12/31/1976,
TIF,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",6/21/2000,
TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",9/30/1985,
TMK,Torchmark Corp.,Financials,Life & Health Insurance,"McKinney, Texas",4/30/1989,
TMO,Thermo Fisher Scientific,Health Care,Health Care Equipment,"Waltham, Massachusetts",,2006
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",,2017
TRIP,TripAdvisor,Communication Services,Interactive Media & Services,"Newton, Massachusetts",12/21/2011,
TROW,T. Rowe Price Group,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1937
TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,"New York, New York",8/21/2002,
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",1/24/2014,
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",,
TSS,Total System Services,Information Technology,Internet Software & Services,"Columbus, Georgia",1/2/2008,
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York, New York",3/19/2018,
TWTR,"Twitter, Inc.",Communication Services,Interactive Media & Services,"San Francisco, California",6/7/2018,2006
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",,1930
TXT,Textron Inc.,Industrials,Aerospace & Defense,"Providence, Rhode Island",12/31/1978,
UA,Under Armour Class C,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",5/1/2014,
UAA,Under Armour Class A,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",3/25/2016,
UAL,United Continental Holdings,Industrials,Airlines,"Chicago, Illinois",9/3/2015,
UDR,UDR Inc,Real Estate,Residential REITs,"Highlands Ranch, Colorado",3/7/2016,
UHS,"Universal Health Services, Inc.",Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",9/20/2014,
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",4/18/2016,
UNH,United Health Group Inc.,Health Care,Managed Health Care,"Minnetonka, Minnesota",7/1/1994,
UNM,Unum Group,Financials,Life & Health Insurance,"Chattanooga, Tennessee",3/1/1994,
UNP,Union Pacific,Industrials,Railroads,"Omaha, Nebraska",,
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Atlanta, Georgia",7/22/2002,
URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,"Stamford, Connecticut",9/20/2014,
USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",,1968
UTX,United Technologies,Industrials,Aerospace & Defense,"Hartford, Connecticut",,
V,Visa Inc.,Information Technology,Internet Software & Services,"San Francisco, California",12/21/2009,
VAR,Varian Medical Systems,Health Care,Health Care Equipment,"Palo Alto, California",2/12/2007,
VFC,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",6/30/1979,
VIAB,Viacom Inc.,Communication Services,Movies & Entertainment,"New York, New York",,
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,1980
VMC,Vulcan Materials,Materials,Construction Materials,"Birmingham, Alabama",6/30/1999,
VNO,Vornado Realty Trust,Real Estate,Office REITs,"New York, New York",,
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",10/8/2015,
VRSN,Verisign Inc.,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2/1/2006,
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,"Cambridge, Massachusetts",9/23/2013,
VTR,Ventas Inc,Real Estate,Health Care REITs,"Chicago, Illinois",3/4/2009,
VZ,Verizon Communications,Communication Services,Integrated Telecommunication Services,"New York, New York",11/30/1983,
WAT,Waters Corporation,Health Care,Health Care Distributors,"Milford, Massachusetts",,1958
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",12/31/1979,
WCG,WellCare,Health Care,Managed Health Care,"Tampa, Florida",1985,
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","Irvine, California",7/1/2009,
WEC,Wec Energy Group Inc,Utilities,Electric Utilities,"Milwaukee, Wisconsin",10/31/2008,
WELL,Welltower Inc.,Real Estate,Health Care REITs,"Toledo, Ohio",1/30/2009,
WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",6/30/1976,
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,1911
WLTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",1/5/2016,
WM,Waste Management Inc.,Industrials,Environmental & Facilities Services,"Houston, Texas",,1968
WMB,Williams Cos.,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",3/31/1975,
WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",8/31/1982,
WRK,WestRock,Materials,Paper Packaging,"Richmond, Virginia",,
WU,Western Union Co,Information Technology,Internet Software & Services,"Englewood, Colorado",,1851
WY,Weyerhaeuser,Real Estate,Specialized REITs,"Federal Way, Washington",,
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",11/14/2008,
XEC,Cimarex Energy,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",6/21/2014,
XEL,Xcel Energy Inc,Utilities,Multi-Utilities,"Minneapolis, Minnesota",,1909
XLNX,Xilinx,Information Technology,Semiconductors,"San Jose, California",11/8/1999,
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,"Irving, Texas",,1999
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"York, Pennsylvania",11/14/2008,
XRX,Xerox,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut",,1906
XYL,Xylem Inc.,Industrials,Industrial Machinery,"White Plains, New York",11/1/2011,
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,"Louisville, Kentucky",10/6/1997,
ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment,"Warsaw, Indiana",8/7/2001,
ZION,Zions Bancorp,Financials,Regional Banks,"Salt Lake City, Utah",6/22/2001,
ZTS,Zoetis,Health Care,Pharmaceuticals,"Florham Park, New Jersey",6/21/2013,
