,fromcode,fromname,tocode,toname,rate,lastrefreshed
27,SVC,,USD,United States Dollar,0.11428816,2018-10-29 23:30:19
28,EUR,Euro,USD,United States Dollar,1.13778590,2018-10-29 23:30:29
29,FKP,Falkland Islands Pound,USD,United States Dollar,1.28106580,2018-10-29 23:30:45
30,FJD,Fijian Dollar,USD,United States Dollar,0.46860355,2018-10-29 23:30:55
31,GHS,Ghanaian Cedi,USD,United States Dollar,0.20910002,2018-10-29 23:31:05
32,GIP,Gibraltar Pound,USD,United States Dollar,1.28057370,2018-10-29 23:31:16
33,GTQ,Guatemalan Quetzal,USD,United States Dollar,0.12963443,2018-10-29 23:31:26
34,GGP,,USD,United States Dollar,1.27998362,2018-10-29 23:31:36
35,GYD,Guyanaese Dollar,USD,United States Dollar,0.00484426,2018-10-29 23:31:47
36,HNL,Honduran Lempira,USD,United States Dollar,0.04161638,2018-10-29 23:32:05
37,HKD,Hong Kong Dollar,USD,United States Dollar,0.12750272,2018-10-29 23:32:15
38,HUF,Hungarian Forint,USD,United States Dollar,0.00350336,2018-10-29 23:32:25
39,ISK,,USD,United States Dollar,0.00827061,2018-10-29 23:32:28
40,INR,Indian Rupee,USD,United States Dollar,0.01362509,2018-10-29 23:32:46
41,IRR,Iranian Rial,USD,United States Dollar,0.00002381,2018-10-29 23:33:07
42,IMP,,USD,United States Dollar,1.27998362,2018-10-29 23:33:18
43,ILS,Israeli New Sheqel,USD,United States Dollar,0.26988366,2018-10-29 23:33:28
44,JMD,Jamaican Dollar,USD,United States Dollar,0.00784006,2018-10-29 23:33:38
45,JPY,Japanese Yen,USD,United States Dollar,0.00889996,2018-10-29 23:33:53
46,JEP,Jersey Pound,USD,United States Dollar,1.27998362,2018-10-29 23:34:04
47,KZT,Kazakhstani Tenge,USD,United States Dollar,0.00272131,2018-10-29 23:34:14
48,KPW,North Korean Won,USD,United States Dollar,0.00111111,2018-10-29 23:34:24
49,KRW,South Korean Won,USD,United States Dollar,0.00087617,2018-10-29 23:34:34
50,KGS,Kyrgystani Som,USD,United States Dollar,0.01437168,2018-10-29 23:34:45
51,LBP,Lebanese Pound,USD,United States Dollar,0.00066313,2018-10-29 23:35:05
52,LRD,Liberian Dollar,USD,United States Dollar,0.00639386,2018-10-29 23:35:16
53,MKD,Macedonian Denar,USD,United States Dollar,0.01859082,2018-10-29 23:35:26
54,MYR,Malaysian Ringgit,USD,United States Dollar,0.23934898,2018-10-29 23:35:36
55,MUR,Mauritian Rupee,USD,United States Dollar,0.02914602,2018-10-29 23:35:46
56,MNT,Mongolian Tugrik,USD,United States Dollar,0.00039277,2018-10-29 23:36:19
57,MZN,Mozambican Metical,USD,United States Dollar,0.01648804,2018-10-29 23:36:29
58,NAD,Namibian Dollar,USD,United States Dollar,0.06798097,2018-10-29 23:36:40
59,NPR,Nepalese Rupee,USD,United States Dollar,0.00853805,2018-10-29 23:36:50
60,ANG,Netherlands Antillean Guilder,USD,United States Dollar,0.56022410,2018-10-29 23:37:00
61,NZD,New Zealand Dollar,USD,United States Dollar,0.65291196,2018-10-29 23:37:10
62,NIO,,USD,United States Dollar,0.03101798,2018-10-29 23:37:21
63,NGN,Nigerian Naira,USD,United States Dollar,0.00277008,2018-10-29 23:37:31
64,NOK,Norwegian Krone,USD,United States Dollar,0.11917687,2018-10-29 23:37:41
65,OMR,Omani Rial,USD,United States Dollar,2.59875270,2018-10-29 23:37:52
66,PKR,Pakistani Rupee,USD,United States Dollar,0.00747831,2018-10-29 23:38:02
67,PAB,Panamanian Balboa,USD,United States Dollar,1.00000000,2018-10-29 23:38:12
68,PYG,Paraguayan Guarani,USD,United States Dollar,0.00016703,2018-10-29 23:38:22
69,PEN,Peruvian Nuevo Sol,USD,United States Dollar,0.29849854,2018-10-29 23:38:33
70,PHP,Philippine Peso,USD,United States Dollar,0.01865672,2018-10-29 23:38:43
71,QAR,Qatari Rial,USD,United States Dollar,0.27474037,2018-10-29 23:39:12
72,RON,Romanian Leu,USD,United States Dollar,0.24382514,2018-10-29 23:39:23
73,RUB,Russian Ruble,USD,United States Dollar,0.01520200,2018-10-29 23:39:33
74,SHP,Saint Helena Pound,USD,United States Dollar,1.28057370,2018-10-29 23:39:43
75,SAR,Saudi Riyal,USD,United States Dollar,0.26661690,2018-10-29 23:39:54
76,RSD,Serbian Dinar,USD,United States Dollar,0.00965507,2018-10-29 23:40:04
77,SCR,Seychellois Rupee,USD,United States Dollar,0.07374631,2018-10-29 23:40:15
78,SGD,Singapore Dollar,USD,United States Dollar,0.72289854,2018-10-29 23:40:25
79,SBD,Steem-Dollars,USD,United States Dollar,0.95520118,2018-10-29 23:40:36
80,SOS,Somali Shilling,USD,United States Dollar,0.00175439,2018-10-29 23:40:46
81,LKR,Sri Lankan Rupee,USD,United States Dollar,0.00575705,2018-10-29 23:41:07
82,SEK,Swedish Krona,USD,United States Dollar,0.10930574,2018-10-29 23:41:17
83,CHF,Swiss Franc,USD,United States Dollar,0.99836270,2018-10-29 23:41:27
84,SRD,Surinamese Dollar,USD,United States Dollar,0.13477089,2018-10-29 23:41:38
85,SYP,Syrian Pound,USD,United States Dollar,0.00194182,2018-10-29 23:41:48
86,THB,Thai Baht,USD,United States Dollar,0.03007519,2018-10-29 23:42:08
87,TTD,Trinidad and Tobago Dollar,USD,United States Dollar,0.14810427,2018-10-29 23:42:19
88,TRY,Turkish Lira,USD,United States Dollar,0.18011527,2018-10-29 23:42:29
89,UAH,Ukrainian Hryvnia,USD,United States Dollar,0.03553660,2018-10-29 23:42:50
90,GBP,British Pound Sterling,USD,United States Dollar,1.28027860,2018-10-29 23:43:00
91,USD,United States Dollar,USD,United States Dollar,1.00000000,2018-10-29 23:43:11
92,UYU,Uruguayan Peso,USD,United States Dollar,0.03033981,2018-10-29 23:43:21
93,UZS,Uzbekistan Som,USD,United States Dollar,0.00012195,2018-10-29 23:43:31
94,VEF,,USD,United States Dollar,0.00000402,2018-10-29 23:43:42
95,VND,Vietnamese Dong,USD,United States Dollar,0.00004284,2018-10-29 23:43:52
96,YER,Yemeni Rial,USD,United States Dollar,0.00400240,2018-10-29 23:44:02
